OrganisationLabel,OrganisationURI,PublishedDate,DurationFrom,DurationTo,LatestData,GeoAreaDescription,GeoEntityName,GeoCode,GeoName,GeoURI,Year,LocalAuthorityDistrictCode,LocalAuthorityDistrictName,IMD_Score,IMD_Rank(1MostDeprived),IMD_Decile(1MostDeprivedTenPerCentOfLSOAs),Income_Score(Rate),Income_Rank(1MostDeprived),Income_Decile(1MostDeprivedTenPerCentOfLSOAs),Employment_Score(Rate),Employment_Rank(1MostDeprived),Employment_Decile(1MostDeprivedTenPerCentOfLSOAs),EducationSkillsAndTraining_Score,EducationSkillsAndTraining_Rank(1MostDeprived),EducationSkillsAndTraining_Decile(1MostDeprivedTenPerCentOfLSOAs),HealthDeprivAndDisability_Score,HealthDeprivAndDisability_Rank(1MostDeprived),HealthDeprivAndDisability_Decile(1MostDeprivedTenPerCentOfLSOAs),Crime_Score,Crime_Rank(1MostDeprived),Crime_Decile(1MostDeprivedTenPerCentOfLSOAs),BarriersToHousingAndServices_Score,BarriersToHousingAndServices_Rank(1MostDeprived),BarriersToHousingAndServices_Decile(1MostDeprivedTenPerCentOfLSOAs),LivingEnvironmentScore,LivingEnvironment_Rank(1MostDeprived),LivingEnvironment_Decile(1MostDeprivedTenPerCentOfLSOAs),IncomeDeprivChildrenIndex(IDACI)_Score(Rate),IncomeDeprivChildrenIndex(IDACI)_Rank(1MostDeprived),IncomeDeprivChildrenIndex(IDACI)_Decile(1MostDeprivedTenPerCentOfLSOAs),IncomeDeprivOlderPeople(IDAOPI)_Score(Rate),IncomeDeprivOlderPeople(IDAOPI)_Rank(1_MostDeprived),IncomeDeprivOlderPeople(IDAOPI)_Decile(1MostDeprivedTenPerCentOfLSOAs),ChildrenAndYP_SubDomain_Score,ChildrenAndYP_SubDomain_Rank(1MostDeprived),ChildrenAndYP_SubDomain_Decile(1MostDeprivedTenPerCentOfLSOAs),AdultSkills_SubDomain_Score,AdultSkills_SubDomain_Rank(1MostDeprived),AdultSkills_SubDomain_Decile(1MostDeprivedTenPerCentOfLSOAs),GeographicalBarriers_SubDomain_Score,GeographicalBarriers_SubDomain_Rank(1MostDeprived),GeographicalBarriers_SubDomain_Decile(1MostDeprivedTenPerCentOfLSOAs),WiderBarriers_SubDomain_Score,WiderBarriers_SubDomain_Rank(1MostDeprived),WiderBarriers_SubDomain_Decile(1MostDeprivedTenPerCentOfLSOAs),Indoors_SubDomain_Score,Indoors_SubDomain_Rank(1MostDeprived),Indoors_SubDomain_Decile(1MostDeprivedTenPerCentOfLSOAs),Outdoors_SubDomain_Score,Outdoors_SubDomain_Rank(1MostDeprived),Outdoors_SubDomain_Decile(1MostDeprivedTenPerCentOfLSOAs),TotalPopulation(ExclPrisoners),DependentChildrenAge0_15(ExclPrisoners),PopulationAge16_59(ExclPrisoners),OlderPopulationAge60AndOver(ExclPrisoners),WorkingAgePopn18_59Or64(ExclPrisoners)_EmploymentDeprivDomain
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026006,Boston 003A,http://statistics.data.gov.uk/doc/statistical-geography/E01026006,2019,E07000136,Boston,31.273,7407,3,0.138,11722,4,0.094,13658,5,63.407,1350,1,0.504,9042,3,0.641,7190,3,10.28,28341,9,46.473,2561,1,0.156,13436,5,0.271,5885,2,1.345,1631,1,0.511,1737,1,-0.53,24513,8,-0.476,17729,6,1.404,1447,1,-0.534,23954,8,2762,501,1956,305,2006
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026007,Boston 001A,http://statistics.data.gov.uk/doc/statistical-geography/E01026007,2019,E07000136,Boston,11.016,23321,8,0.065,22638,7,0.07,18870,6,28.007,9393,3,-0.023,16339,5,-1.971,32638,10,8.102,30247,10,4.427,29903,10,0.097,19799,7,0.073,24599,8,0.256,12060,4,0.392,7333,3,-0.034,16241,5,-4.948,32402,10,-0.631,25542,8,-1.095,30228,10,1108,152,558,398,576
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026008,Boston 001B,http://statistics.data.gov.uk/doc/statistical-geography/E01026008,2019,E07000136,Boston,27.683,9205,3,0.111,14820,5,0.104,11856,4,32.301,7707,3,0.574,8239,3,-0.293,20949,7,38.777,2562,1,37.712,5096,2,0.198,10221,4,0.117,17697,6,0.448,9441,3,0.407,6332,2,1.792,743,1,-4.416,31986,10,1.173,2619,1,-0.904,28539,9,1124,134,503,487,533
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026009,Boston 001C,http://statistics.data.gov.uk/doc/statistical-geography/E01026009,2019,E07000136,Boston,27.633,9228,3,0.121,13583,5,0.106,11560,4,41.26,5060,2,0.186,13260,5,-1.25,30735,10,39.451,2360,1,39.273,4511,2,0.196,10323,4,0.132,15971,5,0.725,6226,2,0.447,4172,2,1.78,765,1,-3.039,29576,10,1.138,2845,1,-0.283,20051,7,1229,182,617,430,631
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026010,Boston 002A,http://statistics.data.gov.uk/doc/statistical-geography/E01026010,2019,E07000136,Boston,49.432,2270,1,0.304,2082,1,0.204,2936,1,96.279,15,1,0.84,5542,2,0.477,9387,3,26.993,9287,3,4.799,29534,9,0.291,4777,2,0.524,501,1,2,139,1,0.654,21,1,0.697,5867,2,-0.228,16388,5,-0.595,25102,8,-1.043,29793,10,1548,396,936,216,930
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026011,Boston 002B,http://statistics.data.gov.uk/doc/statistical-geography/E01026011,2019,E07000136,Boston,31.101,7495,3,0.168,8973,3,0.123,9369,3,74.454,531,1,0.136,13946,5,0.244,12819,4,18.362,18657,6,18.569,16374,5,0.2,10063,4,0.256,6625,3,1.381,1457,1,0.569,476,1,0.362,9841,3,-1.125,21407,7,0.457,9779,3,-1.207,30943,10,3096,743,1900,453,1881
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026012,Boston 004A,http://statistics.data.gov.uk/doc/statistical-geography/E01026012,2019,E07000136,Boston,31.213,7447,3,0.204,6428,2,0.177,4471,2,56.056,2239,1,0.397,10363,4,-0.454,23164,8,13.602,24692,8,7.797,26412,9,0.271,5817,2,0.173,12015,4,1.171,2562,1,0.49,2398,1,0.111,13739,5,-1.522,23516,8,-0.296,21081,7,-0.887,28368,9,1160,202,508,450,519
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026013,Boston 008A,http://statistics.data.gov.uk/doc/statistical-geography/E01026013,2019,E07000136,Boston,11.735,22481,7,0.065,22686,7,0.066,19829,7,20.308,13593,5,-0.103,17615,6,-1.719,32325,10,21.617,14763,5,13.55,20534,7,0.069,24148,8,0.102,19792,7,-0.277,20635,7,0.376,8560,3,0.822,4693,2,-5.252,32560,10,0.049,15677,5,-0.524,23823,8,1453,187,732,534,760
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026014,Boston 008B,http://statistics.data.gov.uk/doc/statistical-geography/E01026014,2019,E07000136,Boston,13.48,20513,7,0.085,18772,6,0.062,21008,7,19.472,14105,5,-0.297,20601,7,-1.244,30701,10,33.102,5022,2,6.488,27806,9,0.104,18986,6,0.11,18646,6,0.043,15358,5,0.333,12470,4,1.406,1722,1,-2.698,28504,9,-0.352,21876,7,-1.282,31337,10,1914,371,986,557,996
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-14T00:00:00,2019-09-26T00:00:00,2019-09-26T00:00:00,TRUE,LSOA2011,Lower Super Output Area (LSOA),E01026015,Boston 004B,http://statistics.data.gov.uk/doc/statistical-geography/E01026015,2019,E07000136,Boston,11.162,23146,8,0.067,22150,7,0.051,24247,8,33.889,7139,3,-0.186,18927,6,-1.19,30413,10,17.854,19331,6,1.941,32051,10,0.081,22207,7,0.11,18677,6,0.657,6965,3,0.39,7432,3,0.508,7890,3,-2.479,27747,9,-1.53,31630,10,-0.801,27396,9,1531,314,951,266,939
